id,name,createdAt,updatedAt
2521b558-30d6-4c86-b59a-9d3c930f9df8,PREMIUM INCENSE STICKS ,2025-03-16T17:32:28.032Z,2025-03-17T03:48:58.301Z
ce969d72-748d-486c-a138-b78639afbdac,DRY DHOOP STICKS,2025-03-16T18:14:35.608Z,2025-03-17T03:46:34.683Z
ace697b1-ce03-4c84-b315-6fc3d63bf904,INCENSE STICKS ,2025-03-17T03:44:34.939Z,2025-03-17T03:48:19.910Z
ffc80404-4b92-4115-9885-94940d1c3a61,FLUXO STICKS ,2025-03-17T03:45:54.987Z,2025-03-17T03:45:54.987Z
53e1b745-e826-431a-80ea-5f061a637102,WET DHOOP STICKS ,2025-03-17T03:46:53.696Z,2025-03-17T03:46:53.696Z
a1591cbb-b433-4761-aa31-3ea8067857d4,POOJA ITEMS,2025-03-17T03:49:58.905Z,2025-03-26T13:02:55.651Z
b799ebab-d2af-4791-85ba-c0e5112458fb,CAMPHOR ,2025-03-17T03:50:31.011Z,2025-03-17T03:50:31.011Z
9ec5df4b-5de5-475a-b5e1-3a2dc2e3d0a6,MASALA/ FLORA AGARBATTI,2025-03-17T03:51:46.211Z,2025-03-20T17:37:34.827Z
cd5afe71-46db-4517-b664-5a5e830b6690,LONG INCENSE STICKS,2025-03-17T03:53:09.745Z,2025-03-17T03:53:09.745Z
32e59405-9207-41c3-a22b-9d66f323e046,HERBAL AGARBATTI ,2025-03-17T04:24:08.423Z,2025-03-17T04:24:08.423Z
49e31f4f-0006-487b-8b66-af8de947b029,DHOOP CUPS,2025-03-17T05:11:35.091Z,2025-03-17T05:11:35.091Z
be9dfb30-7a58-489a-af9f-320c64fa3d70,DHOOP CONES,2025-05-24T06:11:10.284Z,2025-05-24T06:11:10.284Z